"identifier","file","description","subject[0]","subject[1]","subject[2]","title","creator","date","collection","language","licenseurl","rights","contributor","credits"
"cpp_10a_132","cpp_10a_132.pdf","Historical Medical Library of The College of Physicians of Philadelphia, 10a 132. Italy, Circa 1550. A collection of excerpts from various medical texts available to a sixteenth-century physician. This particular manuscript was probably organized and commissioned by an Italian physician. The book was never finished, as some of the pages have line drawings for illuminations that were never colored in. Of note in this book is the Venereal Man featured in a selection from De Apostematibus by Bertapalia. This specific section of the text refers to medical issues such as scrofulis ruptis (ruptured scrotum). It is unclear what Venereal Man's medical issue is precisely, however, he appears to have been circumcised, an uncommon practice in sixteenth-century Italy.","Damage","Miscellany","16th century","Medical-pharmaceutical miscellany","Historical Medical Library of The College of Physicians of Philadelphia","1500","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"cpp_10a_135","cpp_10a_135.pdf","Historical Medical Library of The College of Physicians of Philadelphia, 10a 135. Italy, Mid-(?) 14th century. This manuscript contains De cura sterilitatis mulierum and De infirmitatis, including diagrams of instruments for the treatment of eye conditions, such as cataracts, tumors, and lacrimal fistula.","14th century","Italy","Science -- Medicine","De cura sterilitatis mulierum and De infirmitatis","Historical Medical Library of The College of Physicians of Philadelphia","1325","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"cpp_10a_154","cpp_10a_154.pdf","Historical Medical Library of The College of Physicians of Philadelphia, 10a 154. Italy?, Fourth quarter 16th century, 1581 or later. This manuscript was written in the late sixteenth century and contains eight separate texts, including several by Bottoni and several by Mercuriale.","Treatise","16th century","Italy","De semine et sanguine menstruo","Historical Medical Library of The College of Physicians of Philadelphia","1581","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"cpp_10a_159","cpp_10a_159.pdf","Historical Medical Library of The College of Physicians of Philadelphia, 10a 159. Italy, 1493 June–July. A 15th-century Italian copy of Odo of Meung's De virtutibus herbarum et aromatum, an unillustrated text that describes the medicinal properties of 77 herbs and is written in Latin hexameter.","Treatise","15th century","Italy","De virtutibus herbarum et aromatum","Historical Medical Library of The College of Physicians of Philadelphia","1493","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"cpp_10a_189","cpp_10a_189.pdf","Historical Medical Library of The College of Physicians of Philadelphia, 10a 189. Ferrara, Italy, 1471. This manuscript is possibly the presentation copy of a treatise on edible fruits dedicated to Ercole I d'Este, Duke of Ferrara, by Baptista Massa of Argenta.  Each chapter is devoted to a type of fruit and its effects on parts of the body such as the complexion, stomach, kidneys, heart, and brain.  Names of medical authorities cited in the text, such as Galen, Avicenna, and Isaac Israeli, are written in the margins in red ink.  It is a humanistic manuscript, dated 1471.  The main text is accompanied by a shorter treatise on making barley water, framed as a letter to Pietro da Trani, also dated 1471; and an epigram dedicated to Massa by Ariosto and a table of contents for the main text on a bifolium which is now at the end of the volume but may originally have preceded the main text.","Treatise","15th century","Italian","De fructibus vescendis","Historical Medical Library of The College of Physicians of Philadelphia","1471","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"cpp_10a_210","cpp_10a_210.pdf","Historical Medical Library of The College of Physicians of Philadelphia, 10a 210. Spain or southern France, 14th century or circa 1400. This manuscript is a fourteenth-century or very early fifteenth-century copy of Arnaldus de Villanova's guide to health for James II, King of Aragon from 1291 to 1327, on topics such as bathing, eating, drinking, and sleeping.  This guide, referred to in the manuscript both as Liber de conservatione sanitatis and Regimen generale (fols. 1r-26r), is followed by the much briefer Regimen speciale (fols. 26r-28v), which, unlike the main text, mostly consists of recipes.  The text is written in two columns of a rounded Gothic script with the start of chapters marked by alternating red and blue initials.","Treatise","14th century","15th century","Regimen sanitatis ad regem Aragonum","Historical Medical Library of The College of Physicians of Philadelphia","1300","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"cpp_10a_212","cpp_10a_212.pdf","Historical Medical Library of The College of Physicians of Philadelphia, 10a 212. Lombardy?, Italy, Early 14th century. This manuscript is an early fourteenth-century copy of a treatise on kingly conduct written in the thirteenth century by Giles of Rome for Prince Philip, later Philip IV of France. The manuscript is divided into three books: the first on the individual conduct of the king, the second on personal relationships with family and household, and the third on the state. Each of the three books is subdivided into three parts, each with its own chapter list. This manuscript was written in northern Italy, perhaps Lombardy, on parchment in rotunda script. Aside from three historiated initials (fols. 1a recto, 89r, 227v), each part's chapter list begins with a puzzle initial in red and blue and each part's text begins with a multicolored decorated initial.","Treatise","14th century","Italian","De regimine regum et principum","Historical Medical Library of The College of Physicians of Philadelphia","1300","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"cpp_10a_215","cpp_10a_215.pdf","Historical Medical Library of The College of Physicians of Philadelphia, 10a 215. England, 15th century. ","Miscellany","15th century","English","Composite medical miscellany","Historical Medical Library of The College of Physicians of Philadelphia","1400","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"cpp_10a_231","cpp_10a_231.pdf","Historical Medical Library of The College of Physicians of Philadelphia, 10a 231. Germany, Second half 16th century (after 1568). This manuscript is a collection of remedies and recipes in German and Latin for a variety of medicines against diseases and afflictions including epilepsy, jaundice, the plague, podagra, stillbirth, strokes, and venereal diseases.  The recipes are arranged in sections dated 1568 and 1600, suggesting origins in multiple sources.  The partial Latin index (A-C) at the end of the volume (fols. 168r-168v) refers to Latin recipes earlier in the volume (modern fols. 52-83, early foliation 1-28).","Recipe book","16th century","German","Artzenei buch","Historical Medical Library of The College of Physicians of Philadelphia","1568","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"cpp_10a_233","cpp_10a_233.pdf","Historical Medical Library of The College of Physicians of Philadelphia, 10a 233. France, First half 13th century. This manuscript is a thirteenth-century copy of Gherardo da Cremona's twelfth-century translation of a brief Galenic treatise on prognosis and change in the course of a disease.  The text is known by the titles De crisibus, De crisis, and Peri criseos.  The manuscript is divided into three parts and is mostly undecorated, with a puzzle initial at the beginning of the first book and simpler initials at the beginning of the second and third books.  A later reader added running headings of the book division at the top of each folio.","Treatise","13th century","Puzzle initial","De crisibus libri III","Historical Medical Library of The College of Physicians of Philadelphia","1200","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
