identifier,description,subject[0],subject[1],subject[2],title,creator,date,collection,language,licenseurl,rights,contributor,credits
lcp_ms7,,Antiphonary,15th century,Italian,Diurnal Antiphonal,,1400,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lcp_ms024,,Book of Hours,16th century,French,"Hamilton Book of Hours, Use of Thérouanne",,1500,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lcp_ms12_v1,,Book of Hours,15th century,French,"Book of Hours, Use of Paris",,1400,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lcp_ms12_v2,,Book of Hours,15th century,French,"Book of Hours, Use of Paris",,1400,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lcp_ms14,,17th century,Italy,Illustration,Regulae ordinis fratrum minorum Franciscani etc.,,1600,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lcp_ms15,,Book of Hours,15th century,French,"Book of Hours, fragment",,1450,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lcp_ms18,,Private devotional text,15th century,French,Traictie des VII fruis de tribulacion,,1475,upenn,frm,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lcp_ms19,,Antiphonary,16th century,Spanish,Antiphonal,,1500,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lcp_ms1,,Commentary,Collection of Sermons,10th century,S. John Chrysostom: Homilies,,900,upenn,grc,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lcp_ms20,,Collection of sermons,15th century,German,Jacobus de Voragine: Sermones etc.,,1400,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
